"recordType","rv0","rv1","rv2","rv3","rv4","rv5","rv6","n.trees","shrinkage","interaction.depth","n.minobsinnode","bag.fraction","train.fraction","nTrain","Hi_Hi","Hi_Lo","Hi_NULL","Lo_Lo","Lo_Hi","Lo_NULL","NULL_NULL","NULL_Hi","NULL_Lo","Hi.Err.test","Lo.Err.test","NULL.Err.test","smallest.Error","obs.not.classified","TrainNum"
"0","200","0.06","8","2","0.6","0.9","50","750","0.06","8","2","0.6","0.9","15417","391","0","25","401","0","23","19276","50","60","11.3379","13.0152","0.2484","0.248396","0","12"
"0","200","0.09","8","2","0.6","0.9","50","750","0.09","8","2","0.6","0.9","15417","389","0","24","395","0","24","19276","52","66","11.7914","14.3167","0.2484","0.248396","0","18"
"0","200","0.07","8","2","0.6","0.9","50","750","0.07","8","2","0.6","0.9","15417","395","0","27","397","0","23","19274","46","64","10.4308","13.8829","0.2587","0.258746","0","14"
"0","200","0.08","8","2","0.6","0.9","50","750","0.08","8","2","0.6","0.9","15417","389","0","28","396","0","22","19274","52","65","11.7914","14.0998","0.2587","0.258746","0","16"
"0","200","0.03","8","2","0.6","0.9","50","750","0.03","8","2","0.6","0.9","15417","395","0","28","404","0","25","19271","46","57","10.4308","12.3644","0.2743","0.274270","0","6"
"0","200","0.04","8","2","0.6","0.9","50","750","0.04","8","2","0.6","0.9","15417","396","0","28","397","0","25","19271","45","64","10.2041","13.8829","0.2743","0.274270","0","8"
"0","200","0.05","8","2","0.6","0.9","50","750","0.05","8","2","0.6","0.9","15417","395","0","28","401","0","25","19271","46","60","10.4308","13.0152","0.2743","0.274270","0","10"
"0","200","0.07","2","2","0.6","0.9","50","750","0.07","2","2","0.6","0.9","15417","391","0","30","398","0","27","19267","50","63","11.3379","13.6659","0.2950","0.294970","0","13"
"0","200","0.02","8","2","0.6","0.9","50","750","0.02","8","2","0.6","0.9","15417","396","0","33","408","0","28","19263","45","53","10.2041","11.4967","0.3157","0.315670","0","4"
"0","200","0.05","2","2","0.6","0.9","50","750","0.05","2","2","0.6","0.9","15417","365","0","33","380","0","29","19262","76","81","17.2336","17.5705","0.3208","0.320845","0","9"
"0","200","0.01","8","2","0.6","0.9","50","750","0.01","8","2","0.6","0.9","15417","362","0","35","382","0","28","19261","79","79","17.9138","17.1367","0.3260","0.326019","0","2"
"0","200","0.06","2","2","0.6","0.9","50","750","0.06","2","2","0.6","0.9","15417","377","0","34","389","0","30","19260","64","72","14.5125","15.6182","0.3312","0.331194","0","11"
"0","200","0.08","2","2","0.6","0.9","50","750","0.08","2","2","0.6","0.9","15417","392","0","35","394","0","30","19259","49","67","11.1111","14.5336","0.3364","0.336369","0","15"
"0","200","0.09","2","2","0.6","0.9","50","750","0.09","2","2","0.6","0.9","15417","396","0","37","398","0","30","19257","45","63","10.2041","13.6659","0.3467","0.346719","0","17"
"0","200","0.04","2","2","0.6","0.9","50","750","0.04","2","2","0.6","0.9","15417","340","0","39","352","0","31","19254","101","109","22.9025","23.6443","0.3622","0.362244","0","7"
"0","200","0.03","2","2","0.6","0.9","50","750","0.03","2","2","0.6","0.9","15417","310","0","55","315","0","46","19223","131","146","29.7052","31.6703","0.5227","0.522666","0","5"
"0","200","0.02","2","2","0.6","0.9","50","750","0.02","2","2","0.6","0.9","15417","267","0","57","290","0","58","19209","174","171","39.4558","37.0933","0.5951","0.595115","0","3"
"0","200","0.01","2","2","0.6","0.9","50","750","0.01","2","2","0.6","0.9","15417","216","0","78","235","0","69","19177","225","226","51.0204","49.0239","0.7607","0.760712","0","1"
